
1,Ronald March Jr.,ROA,34,32.1,21.4,7.4,15.5,.481,2.3,6.5,.356,4.2,6.7,.634,1.4,3.4,4.8,4.4,1.9,0.9,2.2,2.3,
2,Victor Wembanyama,PLV,43,32.2,20.7,7.2,15.4,.469,1.3,4.6,.273,5.0,6.0,.822,1.7,8.4,10.2,2.5,0.8,3.0,2.8,2.1,
3,Matt Morgan,LEM,35,29.5,20.5,5.6,12.2,.460,2.9,7.7,.372,6.4,7.2,.885,0.4,2.1,2.5,4.1,0.9,0.0,2.7,1.9,
4,Marcus Keene,STR,33,30.3,20.0,6.8,15.5,.437,3.5,9.2,.387,3.0,3.3,.891,0.3,1.9,2.2,4.3,0.8,0.0,2.5,3.1,
5,Tremont Waters,PLV,23,29.8,18.2,6.4,13.2,.487,2.5,6.0,.410,2.8,3.3,.867,0.2,2.5,2.7,5.0,2.0,0.0,3.5,2.4,
6,Markis McDuffie,DIJ,35,30.0,16.9,5.9,11.5,.516,1.2,3.5,.341,3.9,4.7,.840,1.5,4.3,5.8,1.3,1.2,0.3,1.3,2.5,
7,Nadir Hifi,PORT,33,30.5,16.8,5.6,12.1,.465,1.8,5.4,.345,3.7,4.4,.841,0.5,2.2,2.7,3.4,1.3,0.0,2.1,2.6,
8,Dominic Artis,CHO,34,29.5,16.3,5.1,12.7,.400,2.6,7.3,.357,3.5,4.4,.797,0.8,2.3,3.1,3.6,1.4,0.2,2.2,2.1,
9,Tyrone Wallace,PAR,28,31.1,16.0,5.5,13.1,.421,2.0,6.1,.333,2.9,3.8,.764,0.6,4.3,4.8,6.0,0.8,0.4,4.3,2.9,
10,Justin Bibbins,N92,23,29.3,15.8,4.6,10.1,.455,2.1,4.7,.458,4.4,5.1,.864,0.5,2.1,2.6,5.0,1.5,0.0,1.9,3.3,
11,Bryce Jones,CSP,28,27.7,15.8,5.4,11.8,.461,1.2,3.9,.309,3.7,4.3,.851,0.6,1.8,2.4,5.0,1.2,0.1,2.6,2.9,
12,Kenny Boynton,GRV,18,29.5,15.6,5.5,11.9,.460,2.9,7.0,.413,1.7,2.2,.750,0.2,1.8,2.1,3.2,0.8,0.0,1.1,1.7,
13,Nando De Colo,LYV,29,20.9,15.3,5.0,9.2,.537,1.9,4.1,.458,3.5,3.7,.944,0.3,1.9,2.2,3.9,0.8,0.0,3.1,2.0,
14,JaJuan Johnson,GRV,32,24.2,15.3,6.4,11.3,.568,0.1,0.2,.400,2.4,2.8,.844,1.3,2.8,4.0,0.7,0.6,0.8,0.9,2.7,
15,Emmanuel Chukwubuikem Nzekwesi,PORT,28,27.2,15.0,5.5,10.5,.524,0.2,0.4,.500,3.9,5.2,.740,1.7,4.3,6.0,1.6,0.9,0.5,1.5,2.4,
16,Jordan Floyd,JLB,36,22.0,14.8,5.0,10.7,.466,1.0,3.5,.294,3.8,4.5,.840,0.2,1.3,1.5,2.5,0.9,0.3,1.7,2.0,
17,Kyle Allman Jr.,PAR,23,27.4,14.8,5.0,12.5,.396,1.6,5.7,.273,3.3,4.4,.752,0.3,2.8,3.1,4.0,0.6,0.1,2.9,2.4,
18,James Palmer Jr.,JLB,39,26.7,14.7,4.9,10.3,.481,2.0,5.4,.374,2.8,4.1,.696,0.5,3.3,3.8,2.2,1.0,0.1,1.7,2.1,
19,Matt Mitchell,STR,16,26.8,14.6,5.4,12.7,.424,1.1,4.2,.269,2.8,3.4,.815,0.9,2.8,3.7,1.9,0.8,0.4,2.3,2.7,
20,Vitalis Chikoko,PAU,31,26.3,14.4,5.9,8.7,.674,0.0,0.0,.000,2.7,3.5,.769,2.2,4.4,6.5,1.6,0.5,1.1,1.9,1.9,
21,Mike Scott,NAN,27,30.1,14.3,5.3,10.3,.509,1.7,4.6,.371,2.0,2.4,.846,1.6,5.0,6.6,1.7,0.5,0.0,2.1,2.3,
22,Robert Johnson,ADA,17,27.7,14.2,5.5,12.2,.449,1.7,4.8,.358,1.6,2.1,.750,0.2,2.8,3.0,3.8,1.3,0.1,3.5,1.6,
23,Caleb Walker,NAN,34,30.8,14.1,5.3,10.2,.517,1.3,3.6,.350,2.4,3.5,.667,1.5,3.8,5.3,3.7,1.1,0.1,1.9,1.7,
24,Keith Hornsby,N92,32,26.7,14.0,4.7,10.0,.469,2.4,5.3,.450,2.2,2.3,.933,0.3,1.8,2.1,2.2,0.9,0.1,1.1,1.8,
25,Miralem Halilovic,N92,24,27.0,14.0,5.8,11.5,.505,0.0,0.0,.000,2.3,3.6,.632,2.5,4.8,7.4,3.5,1.0,0.7,1.9,3.3,
26,Javontae Hawkins,CSP,20,28.6,13.9,4.4,10.7,.413,2.0,5.1,.386,3.1,3.9,.805,0.8,2.6,3.4,1.6,0.7,0.2,1.9,3.0,
